Altium Designer Pick and Place Locations
C:\Users\artur\OneDrive\Desktop\60W-20V-Buck-Converter-in-CCM\PCB\60W20V_BuckConverter\Project Outputs for 60W20V_BuckConverter\BOM_AND_PICKNPLACE\Pick Place for Buck_60W20V.csv

========================================================================================================================
File Design Information:

Date:       25/02/24
Time:       23:58
Revision:   0230e0fc5f94e7cb9295cb31df79f53525c38ded
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"LS400","BUZZER","TopLayer","BUZZER_HNB09A03","72.9355","-95.0108","90","BUZZER HNB09A03 TH 1.5V-5V 3Khz"
"HDR404","HEADER_2X5P_2.54mm","TopLayer","SOCKET_2X5P_2.54mm_HORZ_X9555WR","12.3825","-83.0400","270","SOCKET 
X9555WR-2x05-6TV01 TH 2.54mm 2X5P HORZ"
"C412","CAPACITOR","TopLayer","CAP_1210","14.7675","-62.2500","180","CAP 10U 1210 X7R 50V 10%"
"C411","CAPACITOR","TopLayer","CAP_0402","11.2500","-65.0000","180","CAP 100N 0402 X7R 50V 10%"
"C417","CAPACITOR","TopLayer","CAP_0402","86.2500","-90.2951","270","CAP 100N 0402 X7R 50V 10%"
"R323","RESISTOR","TopLayer","RES_0402","51.0000","-58.4328","90","RES 0R 0402 1% 0.625W"
"Q302","BJT_NPN","TopLayer","SOT-23","51.0000","-61.4850","270","NPN 2SD596 SOT-23 25V 0.2W"
"SW401","SWITCH_SPST","TopLayer","SMD_TSA063G60-250","90.2500","-90.2500","0","SW 
TSA063G60-250 SMD SPST 50mA 12V"
"R414","RESISTOR","TopLayer","RES_0603","83.7500","-90.5032","270","RES 10K 0603 0.1W 0.1% 75V"
"J204","JACK_2P","TopLayer","CON_DC-058A-D010","7.3770","-23.7500","0","JACK 
DC-058A-D010 TH  HORIZ"
"C201","CAPACITOR","TopLayer","CAP_0402","89.4549","-17.5000","0","CAP 1N 0402 X7R 50V 10%"
"MODULE400","LCD_MODULE_16X2","TopLayer","LCD_MODULE_16X2","55.0280","-60.6500","90","LCD Display 16X2 Arduino Shield"
"C416","CAPACITOR","TopLayer","CAP_0603","55.0501","-81.0000","180","CAP 1U 0603 X7R 25V 10%"
"C415","CAPACITOR","TopLayer","CAP_0402","54.7951","-82.5000","180","CAP 100N 0402 X7R 50V 10%"
"R206","RESISTOR","TopLayer","RES_0603","76.2468","-52.5000","180","RES 100R 00603 0.1W 0.25% 75V"
"R204","RESISTOR","TopLayer","RES_0603","76.2468","-53.7500","180","RES 100R 00603 0.1W 0.25% 75V"
"L200","INDUCTOR","TopLayer","IND_74437429203151","71.5000","-15.0000","0","IND 150U SMD_W25mm_L28mm 8.4A 7.8A"
"XTAL401","XTAL","TopLayer","SMD_W3.2mm_L5.0m_X50328MSB2GI","41.5000","-79.9500","270","XTAL 
X50328MSB2GI SMD_W3.2mm_L5.0mm 8Mhz 20pF"
"XTAL400","XTAL","TopLayer","SMD_W1.5mm_L4.1mm_3141M-32.768DTNTLLLL","38.8500","-86.0000","0","XTAL 3141M-32.768DTNTLLLL SMD_W1.5mm_L4.1mm 32.768kHz 12.5pF"
"U400","MCU_STM32L476RGT6","TopLayer","LQFP-64","28.7499","-79.4999","90","IC STM32L476RGT6 LQFP-64 MCU"
"U303","OPAMP_1","TopLayer","SOT-23-5","68.5500","-53.0499","270","OPAMP AD8628ARTZ-REEL7 SOT-23-5 2.5MHz"
